Control_ID,Requirement_ID,Target_Provider,Parameter_Field,Operator,Expected_Value,Confidence,Status,Documentation_URL
AU-5,AUDIT-ALERT-CONFIG-001,gcp,audit_logging_failure_alert_config,==,enabled,1.00,PENDING,https://cloud.google.com/logging/docs/audit
AU-6,AU-06_ODP,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
AU-8,AU-08,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
AU-9,AU-09-LOG-PROTECTION,gcp,iam_policy.audit_log_config,==,restricted_access_and_retention_lock,0.85,PENDING,https://cloud.google.com/docs/security/audit-logging
AU-11,AU-11_ODP,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
AU-12,SEC-AU-02-001,gcp,logging.googleapis.com/audit_logs,==,enabled,0.95,PENDING,https://cloud.google.com/docs/security/audit-logging
CA-1,CA-01,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
CA-2,CA-02-NON-TECH,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
CA-3,CA-03,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
CA-5,CA-05-POA-M,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
CA-6,CA-06,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
CA-7,CA-07,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
CA-9,CA-09_ODP,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
CM-1,CM-01,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
CM-2,CM-02,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
CM-4,REQ-COMP-001,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
CM-5,JULA-COMP-001,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
CM-6,CM-06,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
CM-7,CM-07_ODP.01,gcp,gce_instance_firewall_allowed_ports,not_contains,unused_or_prohibited_ports,0.85,PENDING,https://cloud.google.com/docs/vpc/using-firewalls
CM-8,CM-08,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
CM-10,REQ-COMP-001,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
CM-11,cm-11_odp,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
CP-1,CP-01,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
CP-2,CP-2,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
CP-3,CP-03,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
CP-4,CP-04_ODP.01,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
CP-9,CP-09_ODP,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
CP-10,CP-10,N/A,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
IA-1,IA-01,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
IA-2,IA-02,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
IA-4,IA-04,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
IA-5,IA-05,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
IA-6,REQ-AUTH-001,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
IA-7,SEC-CRYPTO-AUTH-001,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
IA-8,IA-8,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
IA-11,IA-11_ODP,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
IR-1,IR-01,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
IR-2,IR-02,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
IR-4,REQ-INC-001,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
IR-5,IR-4,N/A,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
IR-6,IR-06,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
IR-7,IR-SUPPORT-001,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
IR-8,IR-08-01,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
MA-1,MA-01,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
MA-2,MA-02,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
MA-4,MA-4,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
MA-5,PE-2-MAINTENANCE-AUTH,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
MP-1,MP-01,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
MP-2,media_access_control,gcp,storage_access_policies,==,authorized_principal_only,1.00,PENDING,https://cloud.google.com/storage/docs/access-control
MP-6,media_sanitization_encryption_rest,gcp,storage_encryption_at_rest,==,AES-256,1.00,PENDING,https://cloud.google.com/security/data-encryption
MP-7,mp-07_odp.02,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
PE-1,PE-01,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
PE-2,PE-02,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
PE-3,PE-03,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
PE-6,PE-06,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
PE-8,PE-08_ODP,N/A,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
PE-12,REQ-PHY-001,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
PE-13,PHYS-001,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
PE-14,PE-14_ODP-01,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
PE-15,PHYS-FAC-001,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
PE-16,PE-16,n/a,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
PL-1,PL-01-POLICY-MANAGEMENT,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
PL-2,PL-02-01,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
PL-4,PL-04,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
PL-10,PL-11-AUDIT,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
PL-11,TAILORING-001,N/A,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
PS-1,PS-01_PolicyFramework,N/A,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
PS-2,RQ-001,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
PS-3,N/A,N/A,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
PS-5,PS-05_ODP.01,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
PS-6,PS-06,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
PS-7,PS-07-01,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
PS-8,PS-08_ODP,n/a,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
PS-9,REQ-HR-001,N/A,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
RA-1,RA-01_POLICY_DEV,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
RA-2,REQ-CAT-001,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
RA-3,RA-03,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
RA-5,RA-05_VULN_SCAN_01,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
RA-7,RISK-RESPONSE-001,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
SA-1,SA-01,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
SA-2,JULA-COMP-001,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
SA-3,SA-03_ODP,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
SA-4,SA-04_ODP.01,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
SA-5,SA-05-ADMIN-DOCS,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
SA-8,SA-8_PRM_1,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
SA-9,SA-09_ODP,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
SA-22,SA-22_ODP.01,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
SC-1,SC-01-ODP,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
SC-5,SC-05_ODP.02,gcp,resource.load_balancing.enable_ddos_protection,==,true,1.00,PENDING,https://cloud.google.com/docs/load-balancing/docs/google-cloud-armor#ddos-protection
SC-7,SC-07_DMZ_SEGREGATION,gcp,google_compute_subnetwork.purpose,==,PRIVATE_RFC_1918,0.95,PENDING,https://cloud.google.com/docs/vpc/docs/subnets
SC-12,SC-12_ODP,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
SC-13,SC-13_ODP.01,gcp,encryption_standard,==,FIPS_140_2,1.00,PENDING,https://cloud.google.com/docs/security/encryption-at-rest
SC-15,SC-15_ODP,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
SC-20,DNSSEC-001,gcp,dnssec_state,==,on,1.00,PENDING,https://cloud.google.com/docs/dns/dnssec-management
SC-21,DNS-SEC-001,gcp,dnssec_state,==,on,0.95,PENDING,https://cloud.google.com/docs/dns/dnssec-overview
SC-22,DNS_REDUNDANCY_001,gcp,dns_redundancy_policy,==,multi_region_primary_secondary_split,0.85,PENDING,https://cloud.google.com/docs/dns/architecture-best-practices
SC-39,REQ-ISO-001,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
SI-1,SI-01_POLICY_DOC,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
SI-2,SI-02_001,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
SI-3,SI-03_ODP.01,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
SI-4,SI-04,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
SI-5,SI-05_ODP.01,N/A,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
SI-12,RETENTION-MGMT-001,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
SR-1,SR-01,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
SR-2,SR-02_ODP.01,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
SR-3,SR-03_ODP,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
SR-5,sr-05_odp,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
SR-8,SR-08_ODP.01,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
SR-10,SR-10_ODP.02,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
SR-11,SR-11_ODP.01,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
SR-12,sr-12_odp.01,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
AT-4,REQ-ADMIN-001,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
CP-10,CP-10,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
IR-5,IR-4-COMP-001,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
PE-8,PE-08_ODP,N/A,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
PE-16,PE-16,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
PL-11,TAILORING_PROCESS_001,n/a,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
PS-1,PS-01,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
PS-3,PS-3_REQ_001,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
PS-4,PS-04_ODP.01,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
PS-8,PS-08-01,n/a,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
PS-9,REQ-001,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
SI-5,REQ-SI-05-01,gcp,N/A,N/A,N/A,0.00,MANUAL_AUDIT,N/A
